#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"","","","Home automation server",""
"1182","TCP","UDP","AcceleNet Intelligent Transfer","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"1194","TCP","UDP","OpenVPN","Port is officialy registered by IANA for this application"
"1198","TCP","UDP","The cajo project Free dynamic","Port is officialy registered by IANA for this application"
"","","","transparent distributed computing in Java",""
"1200","TCP","","scol, protocol used by SCOL 3D","Port is officialy registered by IANA for this application"
"","","","virtual worlds server to answer world name resolution client request 39",""
"1200","","UDP","scol, protocol used by SCOL 3D","Port is officialy registered by IANA for this application"
"","","","virtual worlds server to answer world name resolution client request",""
"1200","","UDP","Steam Friends Applet","Port is not officialy registered by IANA for this application"
"1214","TCP","","Kazaa","Port is officialy registered by IANA for this application"
"1217","TCP","","Uvora Online","Port is not officialy registered by IANA for this application"
"1220","TCP","","QuickTime Streaming Server","Port is officialy registered by IANA for this application"
"","","","administration",""
"1223","TCP","UDP","TGP, TrulyGlobal Protocol, also","Port is officialy registered by IANA for this application"
"","","","known as ?The Gur Protocol? (named for Gur Kimchi of TrulyGlobal)",""
"1234","","UDP","VLC media player Default port","Port is not officialy registered by IANA for this application"
"","","","for UDP/RTP stream",""
"1236","TCP","","Symantec BindView Control UNIX","Port is not officialy registered by IANA for this application"
"","","","Default port for TCP management server connections",""
"1241","TCP","UDP","Nessus Security Scanner","Port is officialy registered by IANA for this application"
"1270","TCP","UDP","Microsoft System Center","Port is officialy registered by IANA for this application"
"","","","Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent",""
"1293","TCP","UDP","IPSec (Internet Protocol","Port is officialy registered by IANA for this application"
"","","","Security)",""
"1301","TCP","","Palmer Performance OBDNet","Port is not officialy registered by IANA for this application"
"1309","TCP","","Altera Quartus jtagd","Port is not officialy registered by IANA for this application"
"1311","TCP","","Dell OpenManage HTTPS","Port is officialy registered by IANA for this application"
"1313","TCP","","Xbiim (Canvii server)","Port is not officialy registered by IANA for this application"
"1319","TCP","","AMX ICSP","Port is officialy registered by IANA for this application"
"1319","","UDP","AMX ICSP","Port is officialy registered by IANA for this application"
"1337","","UDP","Men and Mice DNS","Port is officialy registered by IANA for this application"
"1337","TCP","","Men and Mice DNS","Port is officialy registered by IANA for this application"
"1337","TCP","","PowerFolder P2P Encrypted File","Port is not officialy registered by IANA for this application"
"","","","Synchronization Program",""
"1337","TCP","","WASTE Encrypted File Sharing","Port is not officialy registered by IANA for this application"
"","","","Program",""
"1344","TCP","","Internet Content Adaptation","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"1352","TCP","","IBM Lotus Notes/Domino 40 (RPC) protocol","Port is officialy registered by IANA for this application"
"1387","TCP","UDP","cadsi-lm, LMS International","Port is officialy registered by IANA for this application"
"","","","(formerly Computer Aided Design Software, Inc. (CADSI)) LM",""
"1414","TCP","","IBM WebSphere MQ (formerly known","Port is officialy registered by IANA for this application"
"","","","as MQSeries)",""
"1417","TCP","UDP","Timbuktu Service 1 Port","Port is officialy registered by IANA for this application"
"1418","TCP","UDP","Timbuktu Service 2 Port","Port is officialy registered by IANA for this application"
"1419","TCP","UDP","Timbuktu Service 3 Port","Port is officialy registered by IANA for this application"
"1420","TCP","UDP","Timbuktu Service 4 Port","Port is officialy registered by IANA for this application"
"1431","TCP","","Reverse Gossip Transport","Port is officialy registered by IANA for this application"
"","","","Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip",""
"","","","Gathering System (GROGGS) bulletin board, such as that implemented on the",""
"","","","Cambridge University?s Phoenix system",""
"1433","TCP","","MSSQL (Microsoft SQL Server","Port is officialy registered by IANA for this application"
"","","","database management system) Server",""
"1434","TCP","UDP","MSSQL (Microsoft SQL Server","Port is officialy registered by IANA for this application"
"","","","database management system) Monitor",""
"1470","TCP","","Solarwinds Kiwi Log Server","Port is officialy registered by IANA for this application"
"1494","TCP","","Citrix XenApp Independent","Port is officialy registered by IANA for this application"
"","","","Computing Architecture (ICA) thin client protocol",""
"1500","TCP","","NetGuard GuardianPro firewall","Port is not officialy registered by IANA for this application"
"","","","(NT4-based) Remote Management",""
"1501","","UDP","NetGuard GuardianPro firewall","Port is not officialy registered by IANA for this application"
"","","","(NT4-based) Authentication Client",""
"1503","TCP","UDP","Windows Live Messenger","Port is not officialy registered by IANA for this application"
"","","","(Whiteboard and Application Sharing)",""
"1512","TCP","UDP","Microsoft Windows Internet Name","Port is officialy registered by IANA for this application"
"","","","Service (WINS)",""
"1513","TCP","UDP","Garena Garena Gaming Client","Port is officialy registered by IANA for this application"
"1521","TCP","","nCube License Manager","Port is officialy registered by IANA for this application"
"1521","TCP","","Oracle database default","Port is not officialy registered by IANA for this application"
"","","","listener, in future releases official port 2483",""
"1524","TCP","UDP","ingreslock, ingres","Port is officialy registered by IANA for this application"
"1526","TCP","","Oracle database common","Port is not officialy registered by IANA for this application"
"","","","alternative for listener",""
"1527","TCP","","Apache Derby Network Server","Port is not officialy registered by IANA for this application"
"","","","default port",""
"1533","TCP","","IBM Sametime IM?Virtual","Port is officialy registered by IANA for this application"
"","","","Places Chat Microsoft SQL Server",""
"1534","","UDP","Eclipse Target Communication","Port is not officialy registered by IANA for this application"
"","","","Framework (TCF) agent discovery 41",""
"1547","TCP","UDP","Laplink","Port is officialy registered by IANA for this application"
"1550","TCP","UDP","3m-image-lm Image Storage","Port is officialy registered by IANA for this application"
"","","","license manager 3M Company",""
"1550","","","Gadu-Gadu (direct","Port is not officialy registered by IANA for this application"
"","","","client-to-client)",""
"1556","TCP","","Jeex-RB (direct","Port is not officialy registered by IANA for this application"
"","","","client-to-db.service)",""
"1581","","UDP","MIL STD 2045-47001 VMF","Port is officialy registered by IANA for this application"
"1589","","UDP","Cisco VQP (VLAN Query Protocol)","Port is not officialy registered by IANA for this application"
"","","","/ VMPS",""
"1590","TCP","","GE Smallworld Datastore Server","Port is not officialy registered by IANA for this application"
"","","","(SWMFS/Smallworld Master Filesystem)",""
"1627","","","iSketch","Port is not officialy registered by IANA for this application"
"1645","TCP","UDP","radius auth, RADIUS","Port is not officialy registered by IANA for this application"
"","","","authentication protocol (default for Cisco and Juniper Networks RADIUS",""
"","","","servers)",""
"1646","TCP","UDP","radius acct, RADIUS","Port is not officialy registered by IANA for this application"
"","","","authentication protocol (default for Cisco and Juniper Networks RADIUS",""
"","","","servers)",""
"1666","TCP","","Perforce","Port is not officialy registered by IANA for this application"
"1677","TCP","UDP","Novell GroupWise clients in","Port is officialy registered by IANA for this application"
"","","","client/server access mode",""
"1688","TCP","","Microsoft Key Management Service","Port is not officialy registered by IANA for this application"
"","","","for KMS Windows Activation",""
"1700","","UDP","Cisco RADIUS Change of","Port is not officialy registered by IANA for this application"
"","","","Authorization for TrustSec",""
"1701","","UDP","Layer 2 Forwarding Protocol","Port is officialy registered by IANA for this application"
"","","","(L2F) & Layer 2 Tunneling Protocol (L2TP)",""
"1707","TCP","UDP","Windward Studios","Port is officialy registered by IANA for this application"
"1707","","TCP","Romtoc Packet Protocol (L2F)","Port is not officialy registered by IANA for this application"
"","","","& Layer 2 Tunneling Protocol (L2TP)",""
"1716","TCP","","America?s Army Massively","Port is not officialy registered by IANA for this application"
"","","","multiplayer online game (MMO)",""
"1719","","UDP","H.323 Registration and alternate","Port is officialy registered by IANA for this application"
"","","","communication",""
"1720","TCP","","H.323 Call signalling","Port is officialy registered by IANA for this application"
"1723","TCP","UDP","Microsoft Point-to-Point","Port is officialy registered by IANA for this application"
"","","","Tunneling Protocol (PPTP)",""
"1725","","UDP","Valve Steam Client","Port is not officialy registered by IANA for this application"
"1755","TCP","UDP","Microsoft Media Services (MMS,","Port is officialy registered by IANA for this application"
"","","","ms-streaming)",""
"1761","","UDP","cft-0","Port is officialy registered by IANA for this application"
"1761","TCP","","cft-0","Port is officialy registered by IANA for this application"
"1761","TCP","","Novell Zenworks Remote Control","Port is not officialy registered by IANA for this application"
"","","","utility",""
"1762?1768","TCP","UDP","cft-1 to cft-7","Port is officialy registered by IANA for this application"
"1792","TCP","UDP","Moby","Port is not officialy registered by IANA for this application"
"1801","TCP","UDP","Microsoft Message Queuing","Port is officialy registered by IANA for this application"
"1812","TCP","UDP","radius, RADIUS authentication","Port is officialy registered by IANA for this application"
"","","","protocol",""
"1813","TCP","UDP","radacct, RADIUS accounting","Port is officialy registered by IANA for this application"
"","","","protocol",""
"1863","TCP","","MSNP (Microsoft Notification","Port is officialy registered by IANA for this application"
"","","","Protocol), used by the .NET Messenger Service and a number of Instant",""
"","","","Messaging clients",""
"1883","TCP","UDP","MQ Telemetry Transport (MQTT),","Port is officialy registered by IANA for this application"
"","","","formerly known as MQIsdp (MQSeries SCADA protocol)",""
"1886","TCP","","Leonardo over IP Pro2col Ltd","Port is not officialy registered by IANA for this application"
"1900","","UDP","Microsoft SSDP Enables discovery","Port is officialy registered by IANA for this application"
"","","","of UPnP devices",""
"1920","TCP","","IBM Tivoli Monitoring Console","Port is not officialy registered by IANA for this application"
"","","","(https)",""
"1935","TCP","","Adobe Systems Macromedia Flash","Port is officialy registered by IANA for this application"
"","","","Real Time Messaging Protocol (RTMP) ?plain? protocol",""
"1947","TCP","UDP","SentinelSRM (hasplm), Aladdin","Port is officialy registered by IANA for this application"
"","","","HASP License Manager",""
"1967","","UDP","Cisco IOS IP Service Level","Port is not officialy registered by IANA for this application"
"","","","Agreements (IP SLAs) Control Protocol",""
"1970","TCP","UDP","Netop Business Solutions Netop","Port is officialy registered by IANA for this application"
"","","","Remote Control",""
"1971","TCP","UDP","Netop Business Solutions Netop","Port is officialy registered by IANA for this application"
"","","","School",""
"1972","TCP","UDP","InterSystems Cach?","Port is officialy registered by IANA for this application"
"1975?1977","","UDP","Cisco TCO (Documentation)","Port is officialy registered by IANA for this application"
"1984","TCP","","Big Brother and related Xymon","Port is officialy registered by IANA for this application"
"","","","(formerly Hobbit) System and Network Monitor",""
"1985","","UDP","Cisco HSRP","Port is officialy registered by IANA for this application"
"1994","TCP","UDP","Cisco STUN-SDLC (Serial","Port is officialy registered by IANA for this application"
"","","","Tunneling?Synchronous Data Link Control) protocol",""
"1997","TCP","","Chizmo Networks Transfer Tool","Port is not officialy registered by IANA for this application"
"1998","TCP","UDP","Cisco X.25 over TCP (XOT)","Port is officialy registered by IANA for this application"
"","","","service",""
"2000","TCP","UDP","Cisco SCCP (Skinny)","Port is officialy registered by IANA for this application"
"2001","","UDP","CAPTAN Test Stand System","Port is not officialy registered by IANA for this application"
"2002","TCP","","Secure Access Control Server","Port is not officialy registered by IANA for this application"
"","","","(ACS) for Windows",""
"2030","","","Oracle Services for Microsoft","Port is not officialy registered by IANA for this application"
"","","","Transaction Server",""
"2031","TCP","UDP","mobrien-chat(http://chat.mobrien.com:2031)","Port is officialy registered by IANA for this application"
"2041","TCP","","Mail.Ru Agent communication","Port is not officialy registered by IANA for this application"
"","","","protocol",""
"2049","","UDP","Network File System","Port is officialy registered by IANA for this application"
"2049","","UDP","shilp","Port is officialy registered by IANA for this application"
"2053","TCP","","knetd Kerberos de-multiplexor","Port is not officialy registered by IANA for this application"
"2056","","UDP","Civilization 4 multiplayer","Port is not officialy registered by IANA for this application"
"2074","TCP","UDP","Vertel VMF SA (i.e. App..","Port is officialy registered by IANA for this application"
"","","","SpeakFreely)",""
"2082","TCP","","Infowave Mobility Server","Port is officialy registered by IANA for this application"
"2082","TCP","","CPanel default","Port is not officialy registered by IANA for this application"
"2083","TCP","","Secure Radius Service (radsec)","Port is officialy registered by IANA for this application"
"2083","TCP","","CPanel default SSL","Port is not officialy registered by IANA for this application"
"2086","TCP","","GNUnet","Port is officialy registered by IANA for this application"
"2086","TCP","","WebHost Manager default","Port is not officialy registered by IANA for this application"
"2087","TCP","","WebHost Manager default SSL","Port is not officialy registered by IANA for this application"
"2095","TCP","","CPanel default Web mail","Port is not officialy registered by IANA for this application"
"2096","TCP","","CPanel default SSL Web mail","Port is not officialy registered by IANA for this application"
"2102","TCP","UDP","zephyr-srv Project Athena Zephyr","Port is officialy registered by IANA for this application"
"","","","Notification Service server",""
"2103","TCP","UDP","zephyr-clt Project Athena Zephyr","Port is officialy registered by IANA for this application"
"","","","Notification Service serv-hm connection",""
"2104","TCP","UDP","zephyr-hm Project Athena Zephyr","Port is officialy registered by IANA for this application"
"","","","Notification Service hostmanager",""
"2105","TCP","UDP","IBM MiniPay","Port is officialy registered by IANA for this application"
"2105","TCP","UDP","eklogin Kerberos encrypted","Port is not officialy registered by IANA for this application"
"","","","remote login (rlogin)",""
"2105","TCP","UDP","zephyr-hm-srv Project Athena","Port is not officialy registered by IANA for this application"
"","","","Zephyr Notification Service hm-serv connection (should use port 2102)",""
"2121","TCP","","FTP proxy","Port is not officialy registered by IANA for this application"
"2144","TCP","","Iron Mountain LiveVault Agent","Port is not officialy registered by IANA for this application"
"2145","TCP","","Iron Mountain LiveVault Agent","Port is not officialy registered by IANA for this application"
"2156","","UDP","Talari Reliable Protocol","Port is officialy registered by IANA for this application"
"2160","TCP","","APC Agent","Port is officialy registered by IANA for this application"
"2161","TCP","","APC Agent","Port is officialy registered by IANA for this application"
"2181","TCP","UDP","EForward-document transport","Port is officialy registered by IANA for this application"
"","","","system",""
"2190","","UDP","TiVoConnect Beacon","Port is not officialy registered by IANA for this application"
"2200","","UDP","Tuxanci game server 42","Port is not officialy registered by IANA for this application"
"2210","","UDP","NOAAPORT Broadcast Network","Port is officialy registered by IANA for this application"
"2210","TCP","","NOAAPORT Broadcast Network","Port is officialy registered by IANA for this application"
"2210","TCP","","MikroTik Remote management for","Port is not officialy registered by IANA for this application"
"","","","?The Dude?",""
"2211","","UDP","EMWIN","Port is officialy registered by IANA for this application"
"2211","TCP","","EMWIN","Port is officialy registered by IANA for this application"
"2211","TCP","","MikroTik Secure management for","Port is not officialy registered by IANA for this application"
"","","","?The Dude?",""
"2212","","UDP","LeeCO POS Server Service","Port is officialy registered by IANA for this application"
"2212","TCP","","LeeCO POS Server Service","Port is officialy registered by IANA for this application"
"2212","TCP","","Port-A-Pour Remote WinBatch","Port is not officialy registered by IANA for this application"
"2219","TCP","UDP","NetIQ NCAP Protocol","Port is officialy registered by IANA for this application"
"2220","TCP","UDP","NetIQ End2End","Port is officialy registered by IANA for this application"
"2221","TCP","","ESET Anti-virus updates","Port is not officialy registered by IANA for this application"
"2222","TCP","","DirectAdmin default & ESET","Port is not officialy registered by IANA for this application"
"","","","Remote Administration",""
"2223","","UDP","Microsoft Office OS X antipiracy","Port is not officialy registered by IANA for this application"
"","","","network monitor",""
"2261","TCP","UDP","CoMotion Master","Port is officialy registered by IANA for this application"
"2262","TCP","UDP","CoMotion Backup","Port is officialy registered by IANA for this application"
"2301","TCP","","HP System Management Redirect to","Port is not officialy registered by IANA for this application"
"","","","port 2381",""
"2302","","UDP","ArmA multiplayer (default for","Port is not officialy registered by IANA for this application"
"","","","game)",""
"2302","","UDP","Halo: Combat Evolved multiplayer","Port is not officialy registered by IANA for this application"
"2303","","UDP","ArmA multiplayer (default for","Port is not officialy registered by IANA for this application"
"","","","server reporting) (default port for game +1)",""
"2305","","UDP","ArmA multiplayer (default for","Port is not officialy registered by IANA for this application"
"","","","VoN) (default port for game +3)",""
"2323","TCP","","Philips TVs based on","Port is not officialy registered by IANA for this application"
"","","","jointSPACE 43",""
"2369","TCP","","Default for BMC Software","Port is officialy registered by IANA for this application"
"","","","Control-M/Server?Configuration Agent, though often changed during",""
"","","","installation",""
"2370","TCP","","Default for BMC Software","Port is officialy registered by IANA for this application"
"","","","Control-M/Server?to allow the Control-M/Enterprise Manager to connect",""
"","","","to the Control-M/Server, though often changed during installation",""
"2379","TCP","","KGS Go Server","Port is not officialy registered by IANA for this application"
"2381","TCP","","HP Insight Manager default for","Port is not officialy registered by IANA for this application"
"","","","Web server",""
"2401","TCP","","CVS version control system","Port is not officialy registered by IANA for this application"
"2404","TCP","","IEC 60870-5 -104, used to send","Port is officialy registered by IANA for this application"
"","","","electric power telecontrol messages between two systems via directly",""
"","","","connected data circuits",""
"2420","","UDP","Westell Remote Access","Port is officialy registered by IANA for this application"
"2427","","UDP","Cisco MGCP","Port is officialy registered by IANA for this application"
"2447","TCP","UDP","ovwdb?OpenView Network","Port is officialy registered by IANA for this application"
"","","","Node Manager (NNM) daemon",""
"2483","TCP","UDP","Oracle database listening for","Port is officialy registered by IANA for this application"
"","","","unsecure client connections to the listener, replaces port 1521",""
"2484","TCP","UDP","Oracle database listening for","Port is officialy registered by IANA for this application"
"","","","SSL client connections to the listener",""
"2500","TCP","","THE?SMESSENGER listening for","Port is officialy registered by IANA for this application"
"","","","The?sMessenger client connections",""
"2501","TCP","","TheosNet-Admin listening for","Port is officialy registered by IANA for this application"
"","","","The?sMessenger client connections",""
"2518","TCP","UDP","Willy","Port is officialy registered by IANA for this application"
"2525","TCP","","SMTP alternate","Port is not officialy registered by IANA for this application"
"2535","TCP","","MADCAP","Port is officialy registered by IANA for this application"
"2546","TCP","UDP","EVault?Data Protection","Port is not officialy registered by IANA for this application"
"","","","Services",""
"2593","TCP","UDP","RunUO?Ultima Online server","Port is not officialy registered by IANA for this application"
"2598","TCP","","new ICA (Citrix) ?when","Port is not officialy registered by IANA for this application"
"","","","Session Reliability is enabled, TCP port 2598 replaces port 1494",""
"2599","TCP","","SonicWALL Antispam traffic","Port is not officialy registered by IANA for this application"
"","","","between Remote Analyzer (RA) and Control Center (CC)",""
"2610","TCP","","Dark Ages","Port is not officialy registered by IANA for this application"
"2612","TCP","UDP","QPasa from MQSoftware","Port is officialy registered by IANA for this application"
"2638","TCP","","Sybase database listener","Port is not officialy registered by IANA for this application"
"2636","TCP","","Solve Service","Port is officialy registered by IANA for this application"
"2641","TCP","UDP","HDL Server from CNRI","Port is officialy registered by IANA for this application"
"2642","TCP","UDP","Tragic","Port is officialy registered by IANA for this application"
"2698","TCP","UDP","Citel / MCK IVPIP","Port is officialy registered by IANA for this application"
"2700?2800","TCP","","KnowShowGo P2P","Port is officialy registered by IANA for this application"
"2710","TCP","","XBT Bittorrent Tracker","Port is not officialy registered by IANA for this application"
"2710","","UDP","XBT Bittorrent Tracker","Port is not officialy registered by IANA for this application"
"","","","experimental UDP tracker extension",""
"2710","TCP","","Knuddels.de","Port is not officialy registered by IANA for this application"
"2735","TCP","UDP","NetIQ Monitor Console","Port is officialy registered by IANA for this application"
"2809","TCP","","corbaloc:iiop URL, per the CORBA","Port is officialy registered by IANA for this application"
"","","","3.0.3 specification",""
"2809","TCP","","IBM WebSphere Application Server","Port is not officialy registered by IANA for this application"
"","","","(WAS) Bootstrap/rmi default",""
"2809","","UDP","corbaloc:iiop URL, per the CORBA","Port is officialy registered by IANA for this application"
"","","","3.0.3 specification.",""
"2868","TCP","UDP","Norman Proprietary Event","Port is officialy registered by IANA for this application"
"","","","Protocol NPEP",""
"2944","","UDP","Megaco Text H.248","Port is not officialy registered by IANA for this application"
"2945","","UDP","Megaco Binary (ASN.1) H.248","Port is not officialy registered by IANA for this application"
"2947","TCP","","gpsd GPS daemon","Port is officialy registered by IANA for this application"
"2948","TCP","UDP","WAP-push Multimedia Messaging","Port is officialy registered by IANA for this application"
"","","","Service (MMS)",""
"2949","TCP","UDP","WAP-pushsecure Multimedia","Port is officialy registered by IANA for this application"
"","","","Messaging Service (MMS)",""
"2967","TCP","","Symantec AntiVirus Corporate","Port is not officialy registered by IANA for this application"
"","","","Edition",""
"3000","TCP","","Miralix License server","Port is not officialy registered by IANA for this application"
"3000","TCP","","Cloud9 Integrated Development","Port is not officialy registered by IANA for this application"
"","","","Environment server",""
"3000","","UDP","Distributed Interactive","Port is not officialy registered by IANA for this application"
"","","","Simulation (DIS), modifiable default",""
"3000","TCP","","Ruby on Rails development","Port is not officialy registered by IANA for this application"
"","","","default 44",""
"3001","TCP","","Miralix Phone Monitor","Port is not officialy registered by IANA for this application"
"3001","TCP","","Opsware server (Satellite)","Port is not officialy registered by IANA for this application"
"3002","TCP","","Miralix CSTA","Port is not officialy registered by IANA for this application"
"3003","TCP","","Miralix GreenBox API","Port is not officialy registered by IANA for this application"
"3004","TCP","","Miralix InfoLink","Port is not officialy registered by IANA for this application"
"3005","TCP","","Miralix TimeOut","Port is not officialy registered by IANA for this application"
"3006","TCP","","Miralix SMS Client Connector","Port is not officialy registered by IANA for this application"
"3007","TCP","","Miralix OM Server","Port is not officialy registered by IANA for this application"
"3008","TCP","","Miralix Proxy","Port is not officialy registered by IANA for this application"
"3017","TCP","","Miralix IVR and Voicemail","Port is not officialy registered by IANA for this application"
"3025","TCP","","netpd.org","Port is not officialy registered by IANA for this application"
"3030","TCP","UDP","NetPanzer","Port is not officialy registered by IANA for this application"
"3050","TCP","UDP","gds_db (Interbase/Firebird)","Port is officialy registered by IANA for this application"
"3051","TCP","UDP","Galaxy Server (Gateway Ticketing","Port is officialy registered by IANA for this application"
"","","","Systems)",""
"3052","TCP","UDP","APC PowerChute Network 45","Port is officialy registered by IANA for this application"
"3074","TCP","UDP","Xbox LIVE and/or Games for","Port is officialy registered by IANA for this application"
"","","","Windows ? LIVE",""
"3100","TCP","","HTTP used by Tatsoft as the","Port is not officialy registered by IANA for this application"
"","","","default listen port",""
"3101","TCP","","BlackBerry Enterprise Server","Port is not officialy registered by IANA for this application"
"","","","communication to cloud",""
"3128","TCP","","HTTP used by Web caches and the","Port is not officialy registered by IANA for this application"
"","","","default for the Squid (software)",""
"3128","TCP","","HTTP used by Tatsoft as the","Port is not officialy registered by IANA for this application"
"","","","default client connection",""
"3225","TCP","UDP","FCIP (Fiber Channel over","Port is officialy registered by IANA for this application"
"","","","Internet Protocol)",""
"3233","TCP","UDP","WhiskerControl research control","Port is officialy registered by IANA for this application"
"","","","protocol",""
"3235","TCP","UDP","Galaxy Network Service (Gateway","Port is officialy registered by IANA for this application"
"","","","Ticketing Systems)",""
"3260","TCP","","iSCSI target","Port is officialy registered by IANA for this application"
"3268","TCP","UDP","msft-gc, Microsoft Global","Port is officialy registered by IANA for this application"
"","","","Catalog (LDAP service which contains data from Active Directory forests)",""
"3269","TCP","UDP","msft-gc-ssl, Microsoft Global","Port is officialy registered by IANA for this application"
"","","","Catalog over SSL (similar to port 3268, LDAP over SSL)",""
"3283","TCP","","Apple Remote Desktop reporting","Port is officialy registered by IANA for this application"
"","","","(officially Net Assistant, referring to an earlier product)",""
"3299","TCP","","SAP-Router (routing application","Port is not officialy registered by IANA for this application"
"","","","proxy for SAP R/3)",""
"3300","TCP","UDP","Debate Gopher backend database","Port is not officialy registered by IANA for this application"
"","","","system",""
"3305","TCP","UDP","odette-ftp, Odette File Transfer","Port is officialy registered by IANA for this application"
"","","","Protocol (OFTP)",""
"3306","TCP","UDP","MySQL database system","Port is officialy registered by IANA for this application"
"3313","TCP","","Verisys ? File Integrity","Port is not officialy registered by IANA for this application"
"","","","Monitoring Software",""
"3333","TCP","","Network Caller ID server","Port is not officialy registered by IANA for this application"
"3333","TCP","","CruiseControl.rb 46","Port is not officialy registered by IANA for this application"
"3386","TCP","UDP","GTP? 3GPP GSM/UMTS CDR logging","Port is officialy registered by IANA for this application"
"","","","protocol",""
"3389","TCP","UDP","Microsoft Terminal Server (RDP)","Port is officialy registered by IANA for this application"
"","","","officially registered as Windows Based Terminal (WBT) ? Link",""
"3396","TCP","UDP","Novell NDPS Printer Agent","Port is officialy registered by IANA for this application"
"3412","TCP","UDP","xmlBlaster","Port is officialy registered by IANA for this application"
"3455","TCP","UDP","RSVP Reservation Protocol","Port is officialy registered by IANA for this application"
"3423","TCP","","Xware xTrm Communication","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"3424","TCP","","Xware xTrm Communication","Port is officialy registered by IANA for this application"
"","","","Protocol over SSL",""
"3478","TCP","UDP","STUN, a protocol for NAT","Port is officialy registered by IANA for this application"
"","","","traversal 47",""
"3478","TCP","UDP","TURN, a protocol for NAT","Port is officialy registered by IANA for this application"
"","","","traversal 48",""
"3483","","UDP","Slim Devices discovery protocol","Port is officialy registered by IANA for this application"
"3483","TCP","","Slim Devices SlimProto protocol","Port is officialy registered by IANA for this application"
"3516","TCP","UDP","Smartcard Port","Port is officialy registered by IANA for this application"
"3527","","UDP","Microsoft Message Queuing","Port is officialy registered by IANA for this application"
"3535","TCP","","SMTP alternate","Port is not officialy registered by IANA for this application"
"3537","TCP","UDP","ni-visa-remote","Port is not officialy registered by IANA for this application"
"3544","","UDP","Teredo tunneling","Port is officialy registered by IANA for this application"
"3605","","UDP","ComCam IO Port","Port is officialy registered by IANA for this application"
"3606","TCP","UDP","Splitlock Server","Port is officialy registered by IANA for this application"
"3632","TCP","","distributed compiler","Port is officialy registered by IANA for this application"
"3689","TCP","","Digital Audio Access Protocol","Port is officialy registered by IANA for this application"
"","","","(DAAP)?used by Apple?s iTunes and AirPort Express",""
"3690","TCP","UDP","Subversion (SVN) version control","Port is officialy registered by IANA for this application"
"","","","system",""
"3702","TCP","UDP","Web Services Dynamic Discovery","Port is officialy registered by IANA for this application"
"","","","(WS-Discovery), used by various components of Windows Vista",""
"3723","TCP","UDP","Used by many Battle.net Blizzard","Port is not officialy registered by IANA for this application"
"","","","games (Diablo II, Warcraft II, Warcraft III, StarCraft)",""
"3724","TCP","","World of Warcraft Online gaming","Port is officialy registered by IANA for this application"
"","","","MMORPG",""
"3724","TCP","","Club Penguin Disney online game","Port is not officialy registered by IANA for this application"
"","","","for kids",""
"3724","","UDP","World of Warcraft Online gaming","Port is officialy registered by IANA for this application"
"","","","MMORPG",""
"3784","TCP","UDP","Ventrilo VoIP program used by","Port is not officialy registered by IANA for this application"
"","","","Ventrilo",""
"3785","","UDP","Ventrilo VoIP program used by","Port is not officialy registered by IANA for this application"
"","","","Ventrilo",""
"3799","","UDP","IETF RADIUS Change of","Port is not officialy registered by IANA for this application"
"","","","Authorization",""
"3800","TCP","","Used by HGG programs","Port is not officialy registered by IANA for this application"
"3880","TCP","UDP","IGRS","Port is officialy registered by IANA for this application"
"3868","TCP","SCTP","Diameter base protocol (RFC","Port is officialy registered by IANA for this application"
"","","","3588)",""
"3872","TCP","","Oracle Management Remote Agent","Port is not officialy registered by IANA for this application"
"3899","TCP","","Remote Administrator","Port is not officialy registered by IANA for this application"
"3900","TCP","","udt_os, IBM UniData UDT OS","Port is officialy registered by IANA for this application"
"","","","49",""
"3945","TCP","UDP","EMCADS service, a Giritech","Port is officialy registered by IANA for this application"
"","","","product used by G/On",""
"3978","TCP","UDP","OpenTTD game (masterserver and","Port is not officialy registered by IANA for this application"
"","","","content service)",""
"3979","TCP","UDP","OpenTTD game","Port is not officialy registered by IANA for this application"
"3999","TCP","UDP","Norman distributed scanning","Port is officialy registered by IANA for this application"
"","","","service",""
"4000","TCP","UDP","Diablo II game","Port is not officialy registered by IANA for this application"
"4001","TCP","","Microsoft Ants game","Port is not officialy registered by IANA for this application"
"4007","TCP","","PrintBuzzer printer monitoring","Port is not officialy registered by IANA for this application"
"","","","socket server",""
"4018","TCP","UDP","protocol information and","Port is officialy registered by IANA for this application"
"","","","warnings",""
"4069","","UDP","Minger Email Address","Port is officialy registered by IANA for this application"
"","","","Verification Protocol 50",""
"4089","TCP","UDP","OpenCORE Remote Control Service","Port is officialy registered by IANA for this application"
"4093","TCP","UDP","PxPlus Client server interface","Port is officialy registered by IANA for this application"
"","","","ProvideX",""
"4096","TCP","UDP","Ascom Timeplex BRE (Bridge Relay","Port is officialy registered by IANA for this application"
"","","","Element)",""
"4100","","","WatchGuard Authentication","Port is not officialy registered by IANA for this application"
"","","","Applet?default",""
"4111","TCP","","Xgrid","Port is officialy registered by IANA for this application"
"4116","TCP","UDP","Smartcard-TLS","Port is officialy registered by IANA for this application"
"4125","TCP","","Microsoft Remote Web Workplace","Port is not officialy registered by IANA for this application"
